"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","New Brunswick","2021A000213","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365484","5.4.7.1.1","","x","","","1"
"2021","New Brunswick","2021A000213","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365484","5.4.7.1.1","","x","","","1"
"2022","New Brunswick","2021A000213","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365484","5.4.7.1.1","","x","","","1"
"2023","New Brunswick","2021A000213","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365484","5.4.7.1.1","","x","","","1"
"2024","New Brunswick","2021A000213","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365484","5.4.7.1.1","","x","","","1"
"2001","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2002","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2003","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2004","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2005","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2006","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2007","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2008","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2009","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2010","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2011","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2012","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2013","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2014","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2015","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2016","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2017","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2018","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2019","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2020","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2021","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2022","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2023","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2024","New Brunswick","2021A000213","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365485","5.4.8.1.1","","x","","","1"
"2001","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","0.8","","","","1"
"2002","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.0","","","","1"
"2003","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","0.8","","","","1"
"2004","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.0","","","","1"
"2005","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","0.7","","","","1"
"2006","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.1","","","","1"
"2007","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.0","","","","1"
"2008","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.0","","","","1"
"2009","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.8","","","","1"
"2010","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.6","","","","1"
"2011","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.5","","","","1"
"2012","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.5","","","","1"
"2013","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.6","","","","1"
"2014","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.5","","","","1"
"2015","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.0","","","","1"
"2016","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.4","","","","1"
"2017","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.4","","","","1"
"2018","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","0.8","","","","1"
"2019","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.5","","","","1"
"2020","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.5","","","","1"
"2021","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.2","","","","1"
"2022","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.6","","","","1"
"2023","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.5","","","","1"
"2024","New Brunswick","2021A000213","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365486","5.4.9.1.1","1.8","","","","1"
"2001","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.4","","","","1"
"2002","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.0","","","","1"
"2003","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
