"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","4.6","","","","1"
"2006","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.7","","","","1"
"2007","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","6.0","","","","1"
"2008","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.6","","","","1"
"2009","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","6.0","","","","1"
"2010","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","4.5","","","","1"
"2011","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.8","","","","1"
"2012","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.0","","","","1"
"2013","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.4","","","","1"
"2014","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.6","","","","1"
"2015","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","4.8","","","","1"
"2016","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.6","","","","1"
"2017","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","4.3","","","","1"
"2018","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","5.0","","","","1"
"2019","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","6.5","","","","1"
"2020","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","4.4","","","","1"
"2021","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","4.7","","","","1"
"2022","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","3.9","","","","1"
"2023","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","3.3","","","","1"
"2024","Alberta","2021A000248","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368034","10.4.7.1.1","4.4","","","","1"
"2001","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2002","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2003","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2004","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2005","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2006","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2007","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2008","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2009","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2010","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2011","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2012","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2013","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2014","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2015","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2016","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2017","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2018","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2019","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2020","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2021","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2022","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2023","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2024","Alberta","2021A000248","Part-time employment","Utilities [22]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368035","10.4.8.1.1","","x","","","1"
"2001","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","7.3","","","","1"
"2002","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","9.9","","","","1"
"2003","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","10.1","","","","1"
"2004","Alberta","2021A000248","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368036","10.4.9.1.1","11.7","","","","1"
